"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\apiFeatures.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 2, 13, 49
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\errorHandler.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\jwtToken.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 2, 4, 24
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\sendEmail.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 5, 9, 66
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\templates\otpVerificarion.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\templates\registrationEmail.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 0, 4, 35
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\utils\templates\slotConfirmation.html", "HTML", 0, 0, 0, 0, 0, 0, 54, 0, 6, 60
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\firebase.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\package-lock.json", "JSON", 28411, 0, 0, 0, 0, 0, 0, 0, 1, 28412
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\package.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 0, 79
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 15, 9, 45
