"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\package.json", "JSON", 70, 0, 0, 0, 0, 0, 0, 0, 1, 71
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 15, 9, 45
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\App.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 15, 26, 151
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\Utils\productData.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 1, 158
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\app\store.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Carousal.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\CheckoutSteps.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\CheckoutSteps.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 2, 7, 87
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Header.jsx", "JavaScript JSX", 0, 0, 193, 0, 0, 0, 0, 3, 45, 241
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Layout.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\MetaData.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\EmptyCart.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\ProductCard.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 0, 0, 2, 14, 63
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\ReviewCard.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 2, 14, 44
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\WorkShopCards.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\route\ProtectedRoute.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 6, 9, 44
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\FeatureSection.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\FeaturedProducts.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 15, 66
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\HeroSection.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 1, 6, 75
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\NewArrivalProucts.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 14, 65
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\ProductSection.jsx", "JavaScript JSX", 0, 0, 154, 0, 0, 0, 0, 0, 14, 168
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\ReviewedProducts.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 14, 65
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\TopRatedProducts.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 15, 66
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.initialstate.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.service.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 5, 17
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.slice.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.thunk.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 6, 19
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.initialstate.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.service.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 9, 10, 64
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.slice.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 7, 152
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.thunk.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 9, 13, 92
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.initialstate.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.service.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 9, 11, 65
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.slice.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 7, 126
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.thunk.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 6, 11, 76
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.initial.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.service.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.slice.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.thunk.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 9, 21
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.initialstate.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.service.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 3, 6, 29
